Feature,URL,div_element,sub_element_type,sub_element_value,sub_element_max_date
CRUDE_PRICE,https://fred.stlouisfed.org/data/DCOILWTICO.txt,,,,
S&P500,https://fred.stlouisfed.org/data/SP500.txt,,,,
UNRATE,https://fred.stlouisfed.org/series/UNRATE,float-start meta-col col-sm-5 col-5,snap,series-meta-observation-value,series-meta-value
CPI,https://fred.stlouisfed.org/series/CPIAUCSL,float-start meta-col col-sm-5 col-5,snap,series-meta-observation-value,series-meta-value
GDP,https://fred.stlouisfed.org/series/GDP,float-start meta-col col-sm-5 col-5,snap,series-meta-observation-value,series-meta-value
FED_GRANTS,https://fred.stlouisfed.org/series/BOGZ1FA206403131Q,float-start meta-col col-sm-5 col-5,snap,series-meta-observation-value,series-meta-value
GOLD_PRICE,https://markets.businessinsider.com/commodities/gold-price,price-section__values,snap,price-section__current-value,
